KIC,T1,e_T1,T2,e_T2,R1_D,e_R1_D,R2_R1,e_R2_R1,T2_T1,Qual,Src,KIS,T1j,T2j,R2_R1j,T1k1,T2k1,R2_R1k1,Simbad,_RA,_DE,V1,V2,V3b,PapIV,HB,DV,Per,e_Per,BJD0,e_BJD0,Morph,GLON,GLAT,Kpmag,Teff,SC,LC,TS,_RA.icrs,_DE.icrs
12351927,4955.0,356.0,4173.0,674.0,2.08e-11,2.45e-12,0.612,0.252,0.567,b'00000',b'1100',1.0,4922.0,4108.0,0.603,4989.0,4244.0,0.621,b'Simbad',288.51062,51.162472,1.0,1.0,1.0,0.0,0.0,b'',10.1161484,2.97e-05,54972.98152,0.017548,0.07,82.0693,17.4709,15.52,4641.0,b'False',b'LC',b'TS',288.5104,51.1625
12352712,7140.0,445.0,6860.0,1227.0,5.91e-12,1.87e-12,0.71,0.363,0.952,b'00000',b'1000',0.0,7140.0,6860.0,0.71,,,,b'Simbad',288.99911,51.111259,0.0,0.0,1.0,1.0,0.0,b'',0.722065,2e-06,54999.935357,0.044343,0.9,82.1398,17.1675,16.8,6667.0,b'False',b'LC',b'TS',288.9989,51.1113
12353720,8266.0,1618.0,8241.0,1668.0,3.24e-11,5.09e-12,0.688,0.474,0.841,b'00000',b'1110',2.0,8282.0,8268.0,0.636,8286.0,8230.0,0.721,b'Simbad',289.57025,51.125702,1.0,1.0,1.0,0.0,0.0,b'',1.95331,2.7e-06,54954.41426,0.012287,0.29,82.2963,16.8414,13.077,6152.0,b'False',b'LC',b'TS',289.5701,51.1257
12356746,6201.0,415.0,5924.0,647.0,2.93e-11,3.48e-12,0.879,0.265,0.95,b'00000',b'0100',1.0,6087.0,5745.0,0.753,6201.0,5924.0,0.879,b'Simbad',291.27692,51.135712,1.0,1.0,1.0,1.0,0.0,b'',1.0049085,1e-06,54954.3696,0.015158,0.53,82.7449,15.8607,13.532,5882.0,b'False',b'LC',b'TS',291.2767,51.1358
12367310,5145.0,356.0,4884.0,634.0,4.26e-11,4.11e-12,0.689,0.258,0.582,b'00000',b'1100',1.0,5114.0,4890.0,0.766,5162.0,4874.0,0.628,b'Simbad',296.34995,51.12344,1.0,1.0,1.0,0.0,0.0,b'',8.6274874,2.36e-05,54972.989347,0.029544,0.14,84.1513,12.9837,13.835,4965.0,b'False',b'LC',b'TS',296.3498,51.1235
12405950,7287.0,382.0,6236.0,673.0,4.39e-11,4.01e-12,0.685,0.247,0.841,b'00000',b'1100',1.0,7235.0,6233.0,0.717,7390.0,6239.0,0.659,b'Simbad',290.43008,51.271549,0.0,0.0,1.0,0.0,0.0,b'',3.53963,7.5e-06,55096.767773,0.057254,0.28,82.6549,16.4015,12.305,6808.0,b'False',b'LC',b'TS',290.4299,51.2716
12418319,6454.0,357.0,6490.0,552.0,2.19e-11,2.09e-12,0.828,0.195,1.006,b'00000',b'1110',2.0,6455.0,6498.0,0.763,6619.0,6639.0,0.872,b'Simbad',296.22662,51.210129,1.0,1.0,1.0,1.0,0.0,b'',1.3569736,1.6e-06,54965.465673,0.015507,0.69,84.1939,13.0922,13.977,6150.0,b'False',b'LC',b'TS',296.2264,51.2101
12418662,5577.0,351.0,3560.0,545.0,2.05e-11,1.7e-12,0.56,0.179,0.618,b'00000',b'1100',1.0,5607.0,3561.0,0.685,5547.0,3560.0,0.361,b'Simbad',296.38013,51.209721,1.0,1.0,1.0,0.0,0.0,b'',2.751574,4.5e-06,54967.314604,0.029857,0.43,84.2389,13.0066,15.311,5280.0,b'False',b'LC',b'TS',296.3799,51.2098
12418816,4909.0,352.0,4796.0,545.0,7.81e-11,6.11e-12,0.811,0.223,0.986,b'00000',b'1100',1.0,4962.0,4472.0,0.962,4905.0,4833.0,0.739,b'Simbad',296.44193,51.224319,1.0,1.0,1.0,0.0,0.0,b'',1.5218703,1.9e-06,54954.742983,0.016626,0.47,84.2704,12.9789,12.402,4583.0,b'True',b'LC',b'TS',296.4417,51.2243
12459731,6864.0,414.0,4075.0,613.0,5.53e-12,1.76e-12,1.416,0.184,0.674,b'00000',b'1100',1.0,6890.0,4034.0,1.495,6441.0,4606.0,1.0,b'Simbad',291.05017,51.321751,0.0,0.0,1.0,0.0,0.0,b'',14.1812065,0.0001407,55004.425248,0.030214,0.08,82.8628,16.0654,17.427,6045.0,b'False',b'LC',b'TS',291.0499,51.3217
12470530,5125.0,353.0,4253.0,570.0,2.32e-11,1.93e-12,0.709,0.188,0.77,b'00000',b'1110',2.0,5310.0,4491.0,1.109,5114.0,4034.0,0.7,b'Simbad',296.24603,51.369099,1.0,1.0,1.0,0.0,0.0,b'',8.2072571,2.21e-05,54968.824131,0.025104,0.13,84.3448,13.1542,15.3,4725.0,b'False',b'LC',b'TS',296.2458,51.3692
12506351,6379.0,368.0,5702.0,625.0,3.6e-11,4.14e-12,0.674,0.289,0.911,b'00000',b'1000',0.0,6379.0,5702.0,0.674,,,,b'Simbad',289.04999,51.418369,1.0,1.0,1.0,0.0,0.0,b'',2.4555173,3.8e-06,54955.736173,0.01758,0.37,82.4501,17.2537,13.184,5949.0,b'False',b'LC',b'TS',289.0498,51.4184
12554536,7769.0,780.0,8643.0,2334.0,3.12e-11,3.02e-12,0.469,0.258,0.754,b'00001',b'1100',1.0,7248.0,10686.0,0.38,8642.0,6146.0,0.799,b'Simbad',289.13153,51.538132,1.0,1.0,1.0,1.0,0.0,b'',0.6844956,6e-07,54953.964623,0.027907,0.63,82.5863,17.2518,12.819,7443.0,b'False',b'LC',b'TS',289.1312,51.5381
12557713,4847.0,353.0,3947.0,571.0,3.06e-11,2.13e-12,0.7,0.187,0.68,b'00000',b'1110',2.0,4986.0,3969.0,0.973,4765.0,3920.0,0.512,b'Simbad',291.08231,51.558361,1.0,1.0,1.0,0.0,0.0,b'',7.2147226,1.83e-05,54965.497854,0.015589,0.09,83.097,16.1415,14.853,4594.0,b'False',b'LC',b'TS',291.0821,51.5584
12645761,4938.0,352.0,4894.0,544.0,5.5e-11,4e-12,0.791,0.213,0.981,b'00000',b'1111',3.0,4891.0,4915.0,0.98,4908.0,4806.0,0.804,b'Simbad',289.70395,51.714401,1.0,1.0,1.0,0.0,0.0,b'',5.4191379,1.2e-05,54961.669259,0.03521,0.36,82.8981,16.9899,13.368,4844.0,b'False',b'LC',b'TS',289.7037,51.7144
12785282,7374.0,365.0,6933.0,577.0,2.42e-11,2.47e-12,0.716,0.229,0.932,b'00000',b'1100',1.0,7326.0,6929.0,0.746,7455.0,6941.0,0.7,b'Simbad',290.47119,52.028511,1.0,1.0,1.0,1.0,0.0,b'',0.7887499,7e-07,54953.956353,0.024042,0.64,83.3919,16.6743,13.518,6924.0,b'False',b'LC',b'TS',290.4709,52.0285
