KIC,T1,e_T1,T2,e_T2,R1_D,e_R1_D,R2_R1,e_R2_R1,T2_T1,Qual,Src,KIS,T1j,T2j,R2_R1j,T1k1,T2k1,R2_R1k1,Simbad,_RA,_DE
1026032.0,6150.0,359.0,4863.0,556.0,2.03e-11,1.98e-12,0.562,0.209,0.785,b'00000',b'1100',1.0,6129.0,4835.0,0.579,6201.0,4908.0,0.526,b'Simbad',291.04407,36.729271
1026957.0,4777.0,352.0,4249.0,642.0,8.65e-11,4.84e-12,0.517,0.223,0.7,b'00010',b'1100',1.0,4755.0,4545.0,0.415,4897.0,3920.0,0.749,b'Simbad',291.25449,36.74361
1433410.0,5930.0,375.0,6033.0,650.0,2.74e-11,2.25e-12,0.649,0.2,0.7,b'00010',b'1110',2.0,5900.0,6041.0,0.677,5991.0,6055.0,0.594,b'Simbad',291.63776,37.082272
1433980.0,6870.0,371.0,5484.0,558.0,1.55e-11,2.01e-12,0.966,0.221,0.781,b'00000',b'1110',2.0,6880.0,5463.0,1.197,6953.0,5527.0,0.769,b'Simbad',291.76633,37.097191
1571511.0,5946.0,364.0,6024.0,685.0,3.53e-11,2.79e-12,0.591,0.218,0.7,b'00010',b'1110',2.0,5861.0,5938.0,0.576,6039.0,6121.0,0.674,b'Simbad',290.99692,37.199219
1572353.0,4709.0,356.0,4458.0,557.0,2.64e-11,3.4e-12,0.663,0.306,0.943,b'00000',b'0100',1.0,3910.0,3795.0,0.87,4709.0,4458.0,0.663,b'Simbad',291.1886,37.161629
1575690.0,4207.0,371.0,3776.0,570.0,3.07e-11,3.82e-12,0.756,0.308,0.875,b'00000',b'0100',2.0,3927.0,3835.0,0.9,4207.0,3776.0,0.756,b'Simbad',291.8819,37.18911
1722276.0,5567.0,352.0,4639.0,593.0,2.58e-11,1.88e-12,0.696,0.176,0.7,b'00010',b'1111',3.0,5573.0,3811.0,0.69,5613.0,5221.0,0.801,b'Simbad',291.69672,37.238041
1725193.0,6045.0,355.0,5988.0,555.0,2.14e-11,2.26e-12,0.691,0.225,0.978,b'00000',b'1100',1.0,5983.0,5902.0,0.625,6195.0,6076.0,0.79,b'Simbad',292.29431,37.26173
1868650.0,31302.0,2247.0,31311.0,2499.0,6.9e-12,2.59e-12,0.898,0.16,0.999,b'10001',b'1100',1.0,33028.0,33860.0,0.938,28590.0,28981.0,0.828,b'Simbad',291.53937,37.335602
1873513.0,3539.0,351.0,4035.0,543.0,4.33e-11,2.6e-12,0.615,0.183,0.7,b'00010',b'1100',1.0,3534.0,3949.0,0.71,3549.0,4095.0,0.604,b'Simbad',292.57986,37.376411
1995732.0,5197.0,353.0,5016.0,563.0,1.73e-11,2.18e-12,0.67,0.249,0.907,b'00000',b'1100',1.0,5165.0,5001.0,0.638,5281.0,5042.0,0.726,b'Simbad',286.216,37.42524
2010607.0,6245.0,392.0,5663.0,1183.0,8.3e-11,8.28e-12,0.505,0.296,0.7,b'00010',b'1000',1.0,6245.0,5663.0,0.505,7252.0,5453.0,0.911,b'Simbad',290.50565,37.459011
2012362.0,6590.0,378.0,6136.0,692.0,2.17e-11,2.41e-12,0.732,0.242,0.965,b'00000',b'1100',1.0,6624.0,5216.0,0.802,6561.0,6258.0,0.682,b'Simbad',290.92523,37.476318
2019076.0,6200.0,361.0,5185.0,561.0,1.34e-11,1.86e-12,0.853,0.209,0.865,b'00000',b'1110',2.0,6317.0,4971.0,1.001,6143.0,5289.0,0.729,b'Simbad',292.46249,37.442619
2141697.0,6326.0,369.0,6322.0,699.0,2.99e-11,3.28e-12,0.794,0.253,1.003,b'00000',b'1100',1.0,6273.0,5914.0,0.823,6575.0,6501.0,0.753,b'Simbad',286.34488,37.501808
2159783.0,6135.0,353.0,6086.0,546.0,1.69e-11,1.97e-12,0.74,0.208,0.988,b'00000',b'0111',3.0,5997.0,5901.0,0.731,6254.0,6181.0,0.697,b'Simbad',291.35938,37.553322
2161623.0,7045.0,766.0,5107.0,1086.0,1.93e-11,2.17e-12,0.912,0.197,0.7,b'00010',b'1010',2.0,6907.0,4484.0,0.937,6902.0,5748.0,0.88,b'Simbad',291.74445,37.591019
2162283.0,7526.0,350.0,7523.0,540.0,1.28e-10,3.89e-12,0.802,0.162,1.0,b'00001',b'1110',2.0,7527.0,7521.0,0.771,7519.0,7518.0,0.752,b'Simbad',291.89178,37.55682
2162994.0,5824.0,358.0,5685.0,551.0,2.54e-11,2.79e-12,0.851,0.243,0.975,b'00000',b'1100',1.0,5786.0,5628.0,0.822,5854.0,5710.0,0.881,b'Simbad',292.05801,37.592049
2166200.0,6808.0,696.0,5723.0,1629.0,5.34e-12,1.73e-12,0.686,0.309,0.7,b'00010',b'0100',1.0,6976.0,8640.0,0.504,6808.0,5723.0,0.686,b'Simbad',292.7337,37.559311
2167890.0,4878.0,370.0,4765.0,624.0,7.9e-11,5.2e-12,0.666,0.216,0.7,b'00010',b'1110',2.0,4849.0,4803.0,0.693,4955.0,4699.0,0.607,b'Simbad',293.09363,37.514511
2302092.0,5313.0,367.0,5037.0,596.0,2.78e-11,4.24e-12,0.755,0.347,0.944,b'00100',b'0100',1.0,5369.0,5136.0,0.859,5313.0,5037.0,0.755,b'Simbad',291.2623,37.697899
2305277.0,6142.0,364.0,6098.0,581.0,1.62e-11,1.94e-12,0.735,0.206,0.995,b'00000',b'1110',2.0,6108.0,5761.0,0.658,6155.0,6100.0,0.835,b'Simbad',291.97073,37.651192
2305372.0,6208.0,356.0,3942.0,559.0,3.29e-11,2.11e-12,1.029,0.164,0.659,b'00100',b'1110',2.0,6260.0,3703.0,1.192,6171.0,4081.0,0.813,b'Simbad',291.99033,37.672749
2305543.0,5917.0,362.0,5821.0,578.0,5.09e-11,3.8e-12,0.715,0.217,0.989,b'00000',b'1110',2.0,5802.0,5815.0,0.775,5968.0,5842.0,0.71,b'Simbad',292.02686,37.600651
2306740.0,6061.0,369.0,5769.0,656.0,3.44e-11,3e-12,0.702,0.224,0.984,b'00000',b'1110',2.0,6088.0,5078.0,0.744,6036.0,5971.0,0.643,b'Simbad',292.26981,37.6982
2306756.0,5400.0,354.0,5335.0,595.0,6.61e-11,5.23e-12,0.613,0.238,0.7,b'00010',b'1100',1.0,5395.0,5354.0,0.628,5430.0,5201.0,0.59,b'Simbad',292.27374,37.671558
2307206.0,5680.0,359.0,5218.0,611.0,1.47e-11,1.88e-12,0.651,0.21,0.864,b'00000',b'1110',2.0,5682.0,5175.0,0.81,5691.0,5266.0,0.627,b'Simbad',292.37616,37.657459
2308957.0,5994.0,363.0,5826.0,562.0,2.19e-11,2.55e-12,0.815,0.246,0.971,b'00000',b'1100',1.0,5945.0,5776.0,0.827,6022.0,5868.0,0.802,b'Simbad',292.75183,37.603539
2309587.0,5766.0,381.0,5577.0,774.0,3.1e-11,3.07e-12,0.663,0.247,0.7,b'00010',b'1100',1.0,5617.0,5484.0,0.681,5805.0,5618.0,0.647,b'Simbad',292.89972,37.659309
2309719.0,6011.0,440.0,5637.0,1022.0,4.52e-11,3.92e-12,0.623,0.235,0.7,b'00010',b'1000',1.0,6011.0,5637.0,0.623,6030.0,5836.0,0.675,b'Simbad',292.93085,37.60664
2435971.0,5289.0,357.0,3608.0,552.0,1.5e-11,2.34e-12,1.091,0.203,0.93,b'11000',b'0100',1.0,5636.0,5240.0,0.788,5289.0,3608.0,1.091,b'Simbad',290.07962,37.787964
2437038.0,5715.0,398.0,5582.0,658.0,1.28e-11,2.23e-12,0.735,0.306,0.982,b'00000',b'0100',1.0,5945.0,5795.0,0.944,5715.0,5582.0,0.735,b'Simbad',290.19836,37.742142
2437060.0,4930.0,358.0,3861.0,577.0,1.45e-11,1.93e-12,0.878,0.213,0.7,b'00010',b'1100',1.0,4355.0,4577.0,0.862,4939.0,3806.0,0.884,b'Simbad',290.19952,37.776989
2437149.0,5457.0,362.0,5165.0,624.0,7.44e-12,1.78e-12,0.667,0.26,0.9,b'00000',b'1100',1.0,5596.0,5220.0,0.729,5415.0,5137.0,0.619,b'Simbad',290.20575,37.769138
2437452.0,5489.0,361.0,4552.0,610.0,9.09e-12,1.83e-12,0.767,0.253,0.801,b'00000',b'1100',1.0,5677.0,4469.0,0.894,5377.0,4763.0,0.595,b'Simbad',290.22617,37.75964
2437783.0,6149.0,1600.0,6343.0,2474.0,2.26e-09,1.29e-09,0.801,0.331,0.7,b'11010',b'1000',0.0,6149.0,6343.0,0.801,,,,b'Simbad',290.25198,37.763203
2438061.0,5279.0,357.0,4560.0,568.0,7.46e-12,1.75e-12,0.699,0.251,0.856,b'11000',b'0011',3.0,5405.0,4608.0,0.774,5240.0,4610.0,0.778,b'Simbad',290.27701,37.79097
2438490.0,5459.0,377.0,5221.0,683.0,6.73e-12,1.73e-12,0.708,0.233,0.7,b'00010',b'0111',3.0,4881.0,5609.0,0.74,5433.0,5086.0,0.698,b'Simbad',290.32596,37.76152
2441161.0,5502.0,363.0,4887.0,571.0,1.03e-11,1.81e-12,0.904,0.214,0.905,b'00000',b'1110',2.0,5864.0,4677.0,1.238,5524.0,5065.0,0.782,b'Simbad',290.93845,37.701172
2442084.0,3971.0,352.0,3820.0,554.0,3.59e-11,3.02e-12,0.596,0.232,0.918,b'00000',b'1100',1.0,3934.0,3786.0,0.627,4011.0,3870.0,0.572,b'Simbad',291.1601,37.761101
2444187.0,6873.0,352.0,6830.0,542.0,2.26e-11,2.78e-12,0.86,0.262,0.992,b'00000',b'1100',1.0,6827.0,6771.0,0.812,6973.0,6916.0,0.888,b'Simbad',291.63232,37.737961
2445134.0,6468.0,356.0,3958.0,692.0,3.5e-11,1.98e-12,0.404,0.197,0.481,b'00000',b'1100',1.0,6428.0,3911.0,0.411,6540.0,4027.0,0.394,b'Simbad',291.8497,37.738621
2446623.0,6073.0,427.0,5616.0,760.0,1.32e-11,1.87e-12,0.783,0.212,0.7,b'00010',b'1110',2.0,6224.0,5234.0,0.797,6025.0,5841.0,0.794,b'Simbad',292.16528,37.794048
2447893.0,5526.0,355.0,4860.0,551.0,2.58e-11,2.38e-12,0.872,0.207,0.905,b'00000',b'1100',1.0,5529.0,4630.0,0.935,5524.0,4961.0,0.824,b'Simbad',292.42404,37.794521
2448320.0,5553.0,356.0,5325.0,555.0,1.45e-11,2.05e-12,0.741,0.243,0.957,b'00000',b'0110',2.0,5500.0,5253.0,0.656,5565.0,5326.0,0.772,b'Simbad',292.51913,37.716011
2449084.0,6281.0,355.0,3562.0,542.0,1.78e-11,1.83e-12,1.072,0.168,0.7,b'00010',b'1100',1.0,6283.0,3560.0,1.104,6273.0,3781.0,0.882,b'Simbad',292.69556,37.771969
2449090.0,5690.0,406.0,4284.0,713.0,6.43e-12,1.78e-12,0.804,0.344,0.73,b'11000',b'1000',0.0,5690.0,4284.0,0.804,,,,b'Simbad',292.69629,37.707237
2450566.0,6711.0,359.0,6776.0,597.0,6e-11,5.81e-12,0.654,0.265,1.015,b'00100',b'1000',2.0,6711.0,6776.0,0.654,6954.0,7036.0,0.765,b'Simbad',293.03629,37.762741
2452440.0,5801.0,688.0,5516.0,1194.0,1.04e-11,2.21e-12,0.786,0.342,0.7,b'00010',b'0100',1.0,5885.0,5334.0,0.74,5801.0,5516.0,0.786,b'Simbad',293.44687,37.72121
2453212.0,6669.0,386.0,6552.0,664.0,9.42e-12,1.89e-12,0.794,0.269,0.989,b'00000',b'1100',1.0,6642.0,6449.0,0.802,6752.0,6681.0,0.785,b'Simbad',293.61661,37.789761
2556127.0,6328.0,358.0,5800.0,559.0,3.92e-11,3.63e-12,0.688,0.245,0.909,b'00000',b'1100',1.0,6260.0,5746.0,0.684,6450.0,5875.0,0.694,b'Simbad',286.4202,37.805752
2557430.0,6757.0,359.0,6129.0,543.0,6.42e-11,1.1e-09,0.8,0.15,0.9,b'00001',b'1100',1.0,6756.0,6125.0,0.794,6913.0,6243.0,0.806,b'Simbad',286.84528,37.815891
2558370.0,4678.0,867.0,4636.0,1048.0,4.09e-12,1.12e-09,0.765,0.155,0.7,b'11011',b'1100',1.0,6181.0,6322.0,0.804,4594.0,4525.0,0.729,b'Simbad',287.13596,37.838306
2569494.0,5156.0,500.0,4857.0,907.0,8.34e-12,1.95e-12,0.707,0.331,0.7,b'00010',b'0100',1.0,5168.0,4938.0,0.875,5156.0,4857.0,0.707,b'Simbad',290.17883,37.848949
2570289.0,6401.0,375.0,6106.0,638.0,1.45e-11,1.99e-12,0.753,0.231,0.97,b'00000',b'1110',2.0,6434.0,6032.0,0.751,6303.0,6066.0,0.774,b'Simbad',290.26126,37.813492
2571439.0,5314.0,355.0,5121.0,555.0,2.51e-11,2.75e-12,0.772,0.247,0.957,b'00000',b'1100',1.0,5296.0,5077.0,0.762,5329.0,5156.0,0.789,b'Simbad',290.4693,37.855228
2576107.0,6866.0,381.0,4114.0,605.0,1.37e-11,2.01e-12,0.943,0.214,0.7,b'00010',b'1110',2.0,6924.0,3872.0,1.042,6020.0,6279.0,0.9,b'Simbad',291.52313,37.887642
2576692.0,5784.0,360.0,5643.0,581.0,4.45e-11,4.95e-12,0.823,0.278,0.941,b'00000',b'1100',1.0,5782.0,5682.0,0.808,5790.0,5597.0,0.838,b'Simbad',291.64301,37.814259
2577756.0,5823.0,418.0,5494.0,1221.0,1.5e-11,2.29e-12,0.566,0.303,0.7,b'00010',b'0100',1.0,5840.0,5435.0,0.757,5823.0,5494.0,0.566,b'Simbad',291.862,37.829941
2580872.0,5267.0,383.0,4879.0,704.0,2.62e-11,3.44e-12,0.646,0.314,0.898,b'00000',b'0100',1.0,5283.0,4794.0,0.717,5267.0,4879.0,0.646,b'Simbad',292.52859,37.81002
2693092.0,5926.0,353.0,4129.0,954.0,7.68e-11,3.37e-12,0.233,0.211,0.424,b'00000',b'1000',1.0,5926.0,4129.0,0.233,7132.0,3891.0,0.852,b'Simbad',285.90485,37.928089
2694741.0,5491.0,362.0,5138.0,645.0,6.9e-11,5.95e-12,0.608,0.252,0.95,b'00000',b'1000',1.0,5491.0,5138.0,0.608,5704.0,5384.0,0.757,b'Simbad',286.41229,37.908199
2695740.0,5268.0,762.0,4501.0,1079.0,5.48e-11,1.03e-11,1.07,0.406,0.985,b'00001',b'1100',1.0,4559.0,6180.0,0.543,5911.0,4312.0,1.296,b'Simbad',286.73068,37.944309
2697935.0,4916.0,365.0,4829.0,587.0,1.75e-10,2.26e-11,0.839,0.316,0.7,b'00010',b'1000',1.0,4916.0,4829.0,0.839,4725.0,4871.0,0.749,b'Simbad',287.46786,37.96664
2708156.0,15058.0,515.0,10411.0,2484.0,4.98e-11,4.78e-12,0.273,0.322,0.569,b'10100',b'1000',2.0,15058.0,10411.0,0.273,9913.0,5493.0,0.929,b'Simbad',290.28711,37.936508
2708614.0,6586.0,391.0,5871.0,689.0,1.16e-11,1.85e-12,0.779,0.22,0.898,b'00000',b'1110',2.0,6593.0,5506.0,0.773,6603.0,6098.0,0.759,b'Simbad',290.40158,37.942009
2711114.0,6671.0,368.0,6060.0,598.0,4.86e-11,3.33e-12,0.736,0.203,0.914,b'00000',b'1111',3.0,6509.0,5962.0,0.763,6687.0,6117.0,0.742,b'Simbad',291.01422,37.969711
2715007.0,6173.0,354.0,5943.0,545.0,1.9e-11,2.49e-12,0.793,0.268,0.963,b'00000',b'1100',1.0,6110.0,5876.0,0.796,6248.0,6012.0,0.79,b'Simbad',291.87732,37.95079
2715417.0,5753.0,398.0,4305.0,713.0,2.84e-11,2.48e-12,1.025,0.198,0.966,b'00000',b'1100',1.0,5794.0,4160.0,1.126,5081.0,4709.0,0.958,b'Simbad',291.96902,37.927769
2717141.0,6378.0,372.0,6311.0,576.0,2.67e-11,3.09e-12,0.885,0.258,0.992,b'00000',b'1100',1.0,6452.0,6408.0,0.87,6248.0,6162.0,0.901,b'Simbad',292.3262,37.961498
2719873.0,5406.0,361.0,4381.0,620.0,2.23e-11,1.95e-12,0.648,0.197,0.478,b'00000',b'1110',2.0,5706.0,4606.0,1.103,5396.0,4079.0,0.596,b'Simbad',292.9306,37.96442
2720096.0,4913.0,354.0,4844.0,556.0,6.69e-11,5.54e-12,0.818,0.23,0.7,b'00010',b'1110',2.0,4871.0,4834.0,0.861,4947.0,4891.0,0.749,b'Simbad',292.97906,37.910919
2720354.0,7082.0,365.0,4688.0,719.0,3.59e-11,2.19e-12,0.537,0.191,0.598,b'00000',b'1110',2.0,7025.0,4550.0,0.47,7386.0,4864.0,0.63,b'Simbad',293.0361,37.954739
2831632.0,7584.0,372.0,7229.0,607.0,2.64e-11,2.21e-12,0.749,0.195,0.962,b'00000',b'1111',3.0,7498.0,7163.0,0.764,7712.0,7325.0,0.747,b'Simbad',285.69009,38.076092
2835289.0,6248.0,366.0,6454.0,647.0,3.84e-11,3.35e-12,0.662,0.234,1.05,b'00100',b'1100',1.0,6230.0,6390.0,0.581,6338.0,6546.0,0.763,b'Simbad',286.85928,38.027481
2851100.0,4649.0,353.0,4564.0,570.0,2.07e-11,2.47e-12,0.686,0.259,0.7,b'00010',b'1100',1.0,4616.0,4574.0,0.746,4674.0,4541.0,0.616,b'Simbad',291.17068,38.008591
2851474.0,9530.0,896.0,8403.0,748.0,2.67e-11,2e-11,0.701,0.169,0.978,b'00001',b'1100',1.0,9572.0,8730.0,0.636,7923.0,7694.0,0.792,b'Simbad',291.24911,38.042679
2852560.0,5621.0,357.0,5378.0,591.0,1.67e-11,2.17e-12,0.684,0.249,0.901,b'00000',b'1100',1.0,5598.0,5361.0,0.68,5645.0,5403.0,0.69,b'Simbad',291.46603,38.005039
2854432.0,5385.0,356.0,5285.0,549.0,2.11e-11,2.47e-12,0.853,0.24,0.979,b'00000',b'0110',2.0,5118.0,4995.0,0.795,5307.0,5155.0,0.817,b'Simbad',291.86661,38.085491
2854752.0,6745.0,377.0,9120.0,732.0,2.67e-11,1.68e-12,0.26,0.158,0.89,b'00000',b'1100',1.0,6594.0,11172.0,0.243,7590.0,7014.0,0.775,b'Simbad',291.93573,38.00629
2854948.0,5631.0,401.0,5431.0,839.0,1.48e-11,1.94e-12,0.626,0.226,0.7,b'00010',b'0110',2.0,5512.0,5035.0,0.793,5575.0,5502.0,0.773,b'Simbad',291.98416,38.088371
2856960.0,4833.0,354.0,4946.0,548.0,1.93e-11,2.43e-12,0.813,0.255,1.03,b'00100',b'1100',1.0,4794.0,4935.0,0.856,4848.0,4952.0,0.769,b'Simbad',292.38132,38.076649
2858322.0,5894.0,359.0,5572.0,571.0,2.02e-11,2.16e-12,0.768,0.218,0.874,b'00000',b'1111',3.0,5891.0,5588.0,0.683,5894.0,5527.0,0.86,b'Simbad',292.67459,38.064831
2860594.0,7157.0,418.0,5669.0,669.0,2.77e-11,2.53e-12,0.817,0.217,0.749,b'00000',b'1100',1.0,7307.0,5972.0,0.907,7123.0,5559.0,0.649,b'Simbad',293.16495,38.06913
2860788.0,5569.0,355.0,5101.0,552.0,3.04e-11,2.66e-12,0.922,0.211,0.977,b'00000',b'1100',1.0,5685.0,4703.0,0.965,5459.0,5307.0,0.789,b'Simbad',293.20734,38.009029
2972514.0,6582.0,387.0,6080.0,834.0,2.24e-11,2.4e-12,0.66,0.236,0.7,b'00010',b'1100',1.0,6502.0,6068.0,0.701,6880.0,6122.0,0.612,b'Simbad',286.68576,38.17025
2973509.0,6381.0,375.0,5877.0,651.0,2.97e-11,3e-12,0.706,0.249,0.892,b'00000',b'1100',1.0,6318.0,5795.0,0.673,6556.0,6021.0,0.732,b'Simbad',287.0257,38.171021
2983113.0,6788.0,392.0,6496.0,670.0,1.31e-11,1.93e-12,0.772,0.223,0.976,b'00000',b'1100',1.0,6790.0,6513.0,0.777,6786.0,6475.0,0.759,b'Simbad',289.86301,38.15239
2987433.0,6901.0,359.0,3817.0,573.0,2.67e-11,2.19e-12,0.808,0.179,0.7,b'00010',b'1110',2.0,6932.0,3722.0,0.911,6708.0,5710.0,0.601,b'Simbad',290.93896,38.119572
2988984.0,7288.0,436.0,10235.0,875.0,1.22e-11,1.7e-12,0.456,0.18,0.992,b'00000',b'1100',1.0,7219.0,11046.0,0.405,7486.0,7719.0,0.649,b'Simbad',291.28802,38.172031
2996347.0,5820.0,365.0,5847.0,589.0,1.47e-11,2.13e-12,0.768,0.254,1.008,b'00000',b'1100',1.0,5717.0,5670.0,0.771,5838.0,5860.0,0.763,b'Simbad',292.88535,38.193729
2998124.0,6839.0,361.0,3882.0,663.0,3.79e-11,2.04e-12,0.598,0.205,0.414,b'00000',b'1100',1.0,6828.0,3807.0,0.595,6877.0,4037.0,0.601,b'Simbad',293.26636,38.12608
3003991.0,5964.0,365.0,4359.0,571.0,2.84e-11,2.38e-12,1.036,0.199,0.476,b'00000',b'1100',1.0,5974.0,4617.0,1.113,5938.0,3899.0,0.817,b'Simbad',294.48996,38.199619
3097352.0,6499.0,724.0,5689.0,1274.0,6.9e-12,1.86e-12,0.831,0.308,0.7,b'00010',b'0010',2.0,6373.0,5627.0,0.827,6279.0,5581.0,0.703,b'Simbad',285.68704,38.26115
3098194.0,5454.0,355.0,5452.0,562.0,3.37e-11,2.98e-12,0.654,0.23,1.01,b'00000',b'1100',1.0,5421.0,5432.0,0.676,5520.0,5551.0,0.627,b'Simbad',286.00308,38.285721
3102000.0,6120.0,458.0,5357.0,853.0,1.13e-11,1.85e-12,0.743,0.224,0.7,b'00010',b'1100',1.0,6162.0,5243.0,0.877,6086.0,5642.0,0.633,b'Simbad',287.34946,38.286041
3102024.0,5861.0,416.0,4481.0,622.0,4.37e-11,4.53e-12,1.302,0.237,0.915,b'00000',b'1000',1.0,5861.0,4481.0,1.302,5533.0,5069.0,0.831,b'Simbad',287.35608,38.212212
3104113.0,5799.0,370.0,5889.0,714.0,3.48e-11,3.33e-12,0.519,0.254,0.976,b'00000',b'1100',1.0,5559.0,7407.0,0.426,5873.0,5683.0,0.7,b'Simbad',288.03967,38.294128
3114667.0,4216.0,356.0,3933.0,550.0,1.49e-11,1.96e-12,0.846,0.219,0.941,b'11000',b'1110',2.0,4143.0,3911.0,0.797,4231.0,3975.0,0.928,b'Simbad',290.99725,38.282616
3115480.0,6410.0,361.0,5546.0,559.0,2.01e-11,2.21e-12,0.707,0.229,0.853,b'00000',b'1110',2.0,6309.0,5458.0,0.661,6472.0,5583.0,0.735,b'Simbad',291.19321,38.244652
3119295.0,6854.0,401.0,11065.0,852.0,1.8e-11,1.68e-12,0.329,0.162,0.7,b'00010',b'1100',1.0,6774.0,11535.0,0.308,7877.0,7270.0,0.717,b'Simbad',292.05969,38.266869
3120320.0,5904.0,358.0,4730.0,1162.0,1.14e-10,1.37e-11,0.413,0.368,0.554,b'00000',b'1000',1.0,5904.0,4730.0,0.413,6498.0,3792.0,0.813,b'Simbad',292.29196,38.284489
3120431.0,5221.0,352.0,5099.0,577.0,1.76e-11,2.09e-12,0.669,0.234,0.7,b'00010',b'1110',2.0,5185.0,5117.0,0.755,5181.0,4947.0,0.818,b'Simbad',292.31595,38.27029
3122985.0,5732.0,619.0,5425.0,1172.0,2.29e-11,3.31e-12,0.708,0.311,0.7,b'00010',b'0100',1.0,6833.0,5377.0,1.53,5732.0,5425.0,0.708,b'Simbad',292.91891,38.206692
3124420.0,5323.0,691.0,5271.0,1104.0,4.52e-12,1.87e-12,0.754,0.328,0.7,b'11010',b'1000',0.0,5323.0,5271.0,0.754,,,,b'Simbad',293.24536,38.272182
3127817.0,6233.0,374.0,6058.0,620.0,6.39e-11,8.81e-12,0.753,0.347,0.97,b'00000',b'1000',1.0,6233.0,6058.0,0.753,6554.0,6283.0,0.736,b'Simbad',293.99973,38.232269
3127873.0,6508.0,360.0,4324.0,578.0,1.47e-11,1.89e-12,0.977,0.179,0.955,b'00000',b'1110',2.0,6482.0,3648.0,1.09,6665.0,6373.0,0.76,b'Simbad',294.01068,38.263561
3130300.0,6746.0,374.0,4411.0,648.0,2.11e-11,2.06e-12,0.894,0.19,0.7,b'00010',b'1100',1.0,6747.0,4377.0,0.931,6743.0,4613.0,0.791,b'Simbad',294.52557,38.204632
3218683.0,5699.0,382.0,4597.0,592.0,1.24e-11,1.89e-12,1.178,0.207,0.956,b'00000',b'1100',1.0,5825.0,4644.0,1.406,5573.0,4419.0,0.977,b'Simbad',286.40063,38.376171
3221207.0,7201.0,358.0,6910.0,788.0,5.01e-11,3.08e-12,0.372,0.221,0.977,b'00000',b'1000',1.0,7201.0,6910.0,0.372,6784.0,6548.0,0.791,b'Simbad',287.34088,38.32568
3222471.0,4954.0,352.0,4651.0,636.0,3.16e-11,3.07e-12,0.537,0.262,0.764,b'00000',b'1100',1.0,4940.0,4604.0,0.477,5026.0,4713.0,0.626,b'Simbad',287.78775,38.31044
3228824.0,4693.0,353.0,4653.0,556.0,1.94e-11,2.5e-12,0.807,0.264,0.7,b'00010',b'1100',1.0,4664.0,4646.0,0.936,4721.0,4666.0,0.724,b'Simbad',289.76483,38.35236
3228863.0,6440.0,359.0,3553.0,542.0,6.61e-11,5.73e-12,1.088,0.182,0.87,b'00100',b'1000',1.0,6440.0,3553.0,1.088,7075.0,6175.0,0.769,b'Simbad',289.77478,38.36681
3230227.0,9342.0,350.0,7485.0,607.0,1.35e-10,5.74e-12,0.737,0.171,0.7,b'00011',b'1100',1.0,9328.0,7738.0,0.825,9353.0,7185.0,0.658,b'Simbad',290.11258,38.399872
3230578.0,6878.0,464.0,6067.0,739.0,2.85e-11,2.91e-12,0.843,0.239,0.76,b'11000',b'1100',1.0,6830.0,6060.0,0.873,6930.0,6076.0,0.798,b'Simbad',290.20364,38.374931
3230787.0,5849.0,403.0,5762.0,682.0,4.76e-11,4.8e-12,0.862,0.251,0.7,b'00010',b'1100',1.0,5760.0,5718.0,0.845,5935.0,5814.0,0.887,b'Simbad',290.25485,38.34166
3231120.0,5709.0,389.0,5711.0,746.0,1e-11,1.92e-12,0.729,0.269,0.7,b'00010',b'1100',1.0,5668.0,5712.0,0.846,5742.0,5710.0,0.653,b'Simbad',290.34445,38.377071
3232823.0,6503.0,372.0,6249.0,583.0,1.37e-11,1.9e-12,0.859,0.214,0.974,b'00000',b'1110',2.0,6472.0,5236.0,0.904,6476.0,6276.0,0.794,b'Simbad',290.85275,38.326618
3240159.0,6512.0,442.0,5075.0,1228.0,5.42e-11,6.71e-12,0.7,0.306,0.7,b'00010',b'1000',1.0,6512.0,5075.0,0.7,6426.0,5894.0,0.866,b'Simbad',292.71317,38.369659
3240706.0,5479.0,384.0,6720.0,872.0,1.9e-11,2.01e-12,0.466,0.217,0.7,b'00010',b'1100',1.0,5339.0,8028.0,0.393,5984.0,6163.0,0.799,b'Simbad',292.85608,38.37257
3240976.0,6693.0,358.0,3669.0,550.0,2e-11,2.03e-12,0.957,0.176,0.7,b'00010',b'1110',2.0,6707.0,3619.0,1.049,6553.0,6256.0,0.736,b'Simbad',292.92905,38.32798
3241344.0,6119.0,353.0,3644.0,548.0,2.05e-11,1.89e-12,1.361,0.155,0.49,b'00000',b'1110',2.0,6131.0,3625.0,1.41,5941.0,4368.0,0.57,b'Simbad',293.01654,38.318451
3241619.0,5715.0,356.0,4285.0,550.0,5.64e-11,3.06e-12,1.06,0.178,0.754,b'00000',b'1110',2.0,5783.0,4340.0,1.187,5709.0,4282.0,0.934,b'Simbad',293.09494,38.361252
3245776.0,6304.0,426.0,6028.0,618.0,2.05e-11,2.52e-12,0.918,0.26,0.995,b'00000',b'1100',1.0,6124.0,4854.0,0.918,6326.0,6182.0,0.918,b'Simbad',294.07404,38.319099
3247294.0,6407.0,367.0,5062.0,682.0,2.7e-11,2.42e-12,0.841,0.2,0.879,b'00000',b'1110',2.0,6413.0,4402.0,0.912,6352.0,5727.0,0.803,b'Simbad',294.43991,38.38084
