KIC,T1,e_T1,T2,e_T2,R1_D,e_R1_D,R2_R1,e_R2_R1,T2_T1,Qual,Src,KIS,T1j,T2j,R2_R1j,T1k1,T2k1,R2_R1k1,Simbad,_RA,_DE
5264304.0,8259.0,2742.0,8255.0,2795.0,1.03e-11,3e-12,0.611,0.79,0.756,b'00000',b'0100',1.0,8221.0,8273.0,0.804,8259.0,8255.0,0.611,b'Simbad',288.45081,40.432449
5264818.0,11442.0,360.0,11335.0,545.0,1.09e-10,4.07e-12,0.734,0.173,0.977,b'10101',b'1100',1.0,11365.0,11267.0,0.831,11531.0,11409.0,0.657,b'Simbad',288.62656,40.454639
5266937.0,5206.0,502.0,4809.0,1812.0,3.08e-11,3.61e-12,0.351,0.33,0.747,b'00001',b'1100',1.0,4913.0,7784.0,0.314,5634.0,4325.0,0.902,b'Simbad',289.34967,40.497189
5269407.0,5755.0,355.0,4249.0,559.0,3.21e-11,1.99e-12,0.677,0.19,0.666,b'00000',b'1110',2.0,5983.0,4960.0,1.144,5775.0,4013.0,0.623,b'Simbad',290.09079,40.46183
5282049.0,6432.0,541.0,5193.0,804.0,1.5e-11,2.04e-12,0.856,0.232,0.7,b'00010',b'1100',1.0,6193.0,5277.0,0.968,6486.0,5051.0,0.777,b'Simbad',293.83688,40.41045
5282464.0,9108.0,381.0,3563.0,542.0,3.3e-11,2.36e-12,1.574,0.156,0.853,b'00000',b'1110',2.0,9229.0,3551.0,1.651,8935.0,6125.0,0.802,b'Simbad',293.94568,40.449551
5283266.0,5038.0,351.0,4693.0,543.0,4.19e-11,2.36e-12,0.344,0.202,0.93,b'00000',b'1100',1.0,5046.0,4718.0,0.286,5009.0,4672.0,0.478,b'Simbad',294.15192,40.401531
5283839.0,6126.0,442.0,6143.0,640.0,1.41e-11,2.23e-12,0.855,0.277,0.986,b'00000',b'1100',1.0,6156.0,6217.0,0.954,6118.0,5990.0,0.796,b'Simbad',294.30301,40.466869
5284133.0,9686.0,442.0,6949.0,642.0,2.55e-11,2.42e-12,1.22,0.198,0.668,b'00000',b'1100',1.0,9904.0,7102.0,1.341,9358.0,6323.0,0.729,b'Simbad',294.38223,40.45219
5284262.0,6711.0,755.0,6047.0,1284.0,3.29e-11,4.48e-12,0.859,0.299,0.7,b'00010',b'0100',1.0,6834.0,6198.0,0.726,6711.0,6047.0,0.859,b'Simbad',294.41626,40.48024
5285607.0,6410.0,395.0,6494.0,640.0,7.06e-11,5.65e-12,0.724,0.227,0.998,b'00000',b'1010',2.0,6279.0,6658.0,0.716,6651.0,6630.0,0.764,b'Simbad',294.77219,40.459629
5286786.0,5061.0,354.0,5149.0,549.0,1.98e-11,2.12e-12,0.775,0.211,1.043,b'00000',b'1110',2.0,4992.0,5088.0,0.764,5086.0,5179.0,0.777,b'Simbad',295.08017,40.4771
5287983.0,5814.0,376.0,6126.0,771.0,1.47e-11,2.12e-12,0.648,0.263,0.7,b'00010',b'1110',2.0,5617.0,6839.0,0.609,5960.0,6153.0,0.694,b'Simbad',295.37805,40.493401
5288543.0,6918.0,363.0,6057.0,631.0,3.09e-11,2.73e-12,0.696,0.223,0.879,b'11000',b'1100',1.0,6861.0,5619.0,0.701,6995.0,6110.0,0.688,b'Simbad',295.49411,40.406204
5290305.0,6954.0,426.0,6330.0,1027.0,2.04e-11,2.44e-12,0.712,0.25,0.7,b'00010',b'1100',1.0,6886.0,5986.0,0.685,7114.0,6592.0,0.735,b'Simbad',295.88638,40.45599
5294739.0,5827.0,352.0,3584.0,542.0,4.32e-11,2.08e-12,1.666,0.152,0.748,b'00000',b'1110',2.0,5858.0,3564.0,1.726,5769.0,3624.0,1.433,b'Simbad',296.83719,40.473099
5296276.0,6086.0,376.0,5942.0,620.0,3.11e-11,3.37e-12,0.762,0.264,0.965,b'00000',b'1100',1.0,6008.0,5900.0,0.839,6121.0,5967.0,0.706,b'Simbad',297.14154,40.49823
5296877.0,8639.0,1781.0,5530.0,1677.0,3.61e-11,8.14e-12,1.263,0.52,0.987,b'00000',b'1000',1.0,8639.0,5530.0,1.263,7142.0,6945.0,0.894,b'Simbad',297.26981,40.410172
5297298.0,6346.0,436.0,6083.0,1070.0,3.64e-11,3.51e-12,0.587,0.26,0.7,b'00010',b'0100',1.0,6718.0,5947.0,0.755,6346.0,6083.0,0.587,b'Simbad',297.36032,40.42981
5300878.0,4849.0,352.0,4457.0,554.0,3.1e-11,2.33e-12,0.864,0.185,0.981,b'00000',b'1110',2.0,4928.0,3962.0,0.914,4726.0,4580.0,0.7,b'Simbad',298.08188,40.478142
5306862.0,6620.0,362.0,4560.0,760.0,4.68e-11,2.54e-12,0.537,0.208,0.623,b'00000',b'1100',1.0,6600.0,4292.0,0.491,6895.0,5090.0,0.698,b'Simbad',299.2139,40.458382
5307780.0,6745.0,359.0,3922.0,560.0,1.7e-11,2.13e-12,1.043,0.183,0.987,b'00000',b'1100',1.0,6821.0,3676.0,1.097,6444.0,6215.0,0.761,b'Simbad',299.3981,40.422939
5308778.0,5374.0,392.0,4561.0,558.0,9.49e-11,1.38e-11,1.301,0.284,0.949,b'00000',b'1000',0.0,5374.0,4561.0,1.301,,,,b'Simbad',299.57739,40.458481
5309353.0,6179.0,1603.0,6307.0,2418.0,2.25e-09,1.31e-09,0.803,0.332,0.7,b'11010',b'1000',0.0,6179.0,6307.0,0.803,,,,b'Simbad',299.6813,40.428425
5310387.0,6738.0,359.0,6795.0,824.0,4.44e-11,3.51e-12,0.541,0.236,0.994,b'00100',b'1000',0.0,6738.0,6795.0,0.541,,,,b'Simbad',299.87885,40.48243
